ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
153,19,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-3.458947
154,8,20,1 3 4 7 11 15 17 19 ,1.445000
155,12,20,1 2 3 4 6 7 9 10 11 13 15 16 ,-4.640833
156,16,20,1 2 3 4 5 8 9 10 11 12 14 15 16 17 18 20 ,-4.508126
157,3,20,1 3 6 ,-4.430000
158,14,20,1 2 3 4 6 10 12 14 15 16 17 18 19 20 ,-5.983572
159,6,20,4 5 10 13 16 17 ,4.203333
160,3,20,6 12 14 ,5.570000
161,16,20,1 2 3 4 5 7 9 12 13 14 15 16 17 18 19 20 ,-0.396875
162,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
163,17,20,1 3 4 5 7 9 10 11 12 13 14 15 16 17 18 19 20 ,-0.661176
164,10,20,2 4 7 10 13 14 17 18 19 20 ,-6.596001
165,4,20,1 10 12 14 ,-2.242500
166,11,20,3 6 7 8 9 12 13 14 15 17 20 ,-1.985455
167,15,20,1 2 4 5 7 9 10 11 12 13 14 16 18 19 20 ,-3.602001
168,14,20,1 3 6 8 9 10 11 12 13 14 17 18 19 20 ,-1.341429
169,19,20,1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-3.458947
170,13,20,1 2 4 5 6 7 8 13 14 15 16 17 19 ,-0.138461
171,9,20,1 4 5 7 8 10 11 12 17 ,0.396667
172,16,20,2 3 4 5 6 8 9 10 11 12 14 15 16 17 18 19 ,-3.015001
173,9,20,2 4 7 9 12 13 18 19 20 ,-8.725555
174,13,20,1 3 5 6 7 8 9 10 12 13 17 19 20 ,-5.520770
175,4,20,2 10 14 16 ,-1.677500
176,8,20,1 3 5 9 10 12 13 14 ,-2.351250
177,18,20,2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 ,0.438889
178,15,20,2 3 4 5 7 8 9 10 11 13 14 15 18 19 20 ,-1.739334
179,14,20,1 4 5 6 7 9 12 14 15 16 17 18 19 20 ,0.042857
180,3,20,10 15 18 ,-4.623333
181,15,20,1 2 3 4 5 6 7 8 9 12 13 14 17 18 20 ,-2.991334
182,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
183,12,20,2 3 4 7 10 12 13 14 16 17 19 20 ,-3.505000
184,16,20,1 2 3 4 5 6 8 11 12 13 14 15 16 18 19 20 ,-0.275625
185,11,20,1 2 3 6 9 10 12 13 14 16 17 ,-2.408182
186,12,20,1 3 5 6 8 9 11 12 13 14 17 19 ,1.541667
187,18,20,2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 ,-2.412779
188,4,20,5 10 13 18 ,1.802500
189,8,20,3 5 6 9 13 14 19 20 ,-5.336249
190,2,20,17 20 ,-2.730000
